WorkDay,Holiday,conditions,hour,temp,feelslike,dew,humidity,cloudcover,visibility
False,True,Partially cloudy,0,13.5,13.5,12.0,90.68,80.1,10.8
False,True,Overcast,1,13.6,13.6,12.3,91.88,96.2,5.7
False,True,Overcast,2,13.5,13.5,12.1,91.27,100.0,8.7
False,True,Overcast,3,13.3,13.3,12.0,91.85,100.0,9.4
False,True,Partially cloudy,4,13.3,13.3,11.6,89.46,84.8,12.3
False,True,Partially cloudy,5,13.5,13.5,11.6,88.3,78.5,15.3
False,True,"Rain, Partially cloudy",6,13.5,13.5,11.6,88.3,80.9,16.1
False,True,Partially cloudy,7,13.3,13.3,11.1,86.56,50.2,17.0
False,True,Partially cloudy,8,13.3,13.3,10.3,82.08,44.7,20.2
False,True,Partially cloudy,9,13.3,13.3,9.8,79.38,44.7,23.5
False,True,Partially cloudy,10,14.3,14.3,9.2,71.0,44.7,22.0
False,True,Partially cloudy,11,15.1,15.1,9.0,66.96,44.7,25.5
False,True,Partially cloudy,12,16.1,16.1,10.1,67.63,47.1,23.3
False,True,Partially cloudy,13,15.0,15.0,9.8,71.11,50.2,19.8
False,True,Partially cloudy,14,14.6,14.6,10.3,75.44,50.7,17.3
False,True,Overcast,15,14.6,14.6,10.6,76.97,93.0,18.0
False,True,Partially cloudy,16,13.8,13.8,10.8,82.14,84.5,17.3
False,True,Partially cloudy,17,14.0,14.0,10.8,81.09,86.9,10.8
False,True,Partially cloudy,18,13.3,13.3,10.8,84.85,89.2,13.1
False,True,Overcast,19,13.3,13.3,11.1,86.55,93.1,12.9
False,True,Partially cloudy,20,13.3,13.3,11.1,86.54,89.2,13.5
False,True,Overcast,21,13.5,13.5,11.1,85.44,92.3,12.9
False,True,Overcast,22,13.1,13.1,11.0,87.1,93.1,11.9
False,True,Partially cloudy,23,13.3,13.3,11.1,86.55,69.4,12.0
False,True,Overcast,0,13.3,13.3,11.3,87.7,92.3,12.6
False,True,Partially cloudy,1,13.3,13.3,11.3,87.7,89.2,23.1
False,True,Partially cloudy,2,13.1,13.1,10.9,85.97,81.6,17.7
False,True,Overcast,3,13.0,13.0,11.1,88.26,92.3,16.1
False,True,Partially cloudy,4,12.6,12.6,11.5,93.02,81.6,20.8
False,True,"Rain, Partially cloudy",5,12.5,12.5,11.3,92.39,74.6,17.7
False,True,"Rain, Partially cloudy",6,12.3,12.3,10.6,89.37,77.6,26.2
False,True,Partially cloudy,7,12.0,12.0,9.3,83.57,81.5,30.1
False,True,Partially cloudy,8,11.6,11.6,8.8,82.97,77.7,30.1
False,True,Partially cloudy,9,11.1,11.1,8.8,85.75,78.4,30.1
False,True,Partially cloudy,10,11.6,11.6,8.3,80.2,70.8,27.0
False,True,Partially cloudy,11,12.1,12.1,8.5,78.65,78.5,30.1
False,True,Partially cloudy,12,12.1,12.1,8.1,76.57,77.7,30.1
False,True,Partially cloudy,13,12.1,12.1,8.6,78.69,76.8,9.3
False,True,Partially cloudy,14,12.3,12.3,9.4,81.98,86.9,14.2
