Date,hour,temp,feelslike,dew,humidity,cloudcover,visibility,count,WorkDay,Holiday,conditions,icon
2022-01-01 00:00:00,0,13.5,13.5,12.0,90.68,80.1,10.8,1470,False,True,Partially cloudy,partly-cloudy-night
2022-01-01 01:00:00,1,13.6,13.6,12.3,91.88,96.2,5.7,1532,False,True,Overcast,cloudy
2022-01-01 02:00:00,2,13.5,13.5,12.1,91.27,100.0,8.7,1084,False,True,Overcast,cloudy
2022-01-01 03:00:00,3,13.3,13.3,12.0,91.85,100.0,9.4,696,False,True,Overcast,cloudy
2022-01-01 04:00:00,4,13.3,13.3,11.6,89.46,84.8,12.3,447,False,True,Partially cloudy,partly-cloudy-night
2022-01-01 05:00:00,5,13.5,13.5,11.6,88.3,78.5,15.3,320,False,True,Partially cloudy,partly-cloudy-night
2022-01-01 06:00:00,6,13.5,13.5,11.6,88.3,80.9,16.1,213,False,True,"Rain, Partially cloudy",rain
2022-01-01 07:00:00,7,13.3,13.3,11.1,86.56,50.2,17.0,193,False,True,Partially cloudy,partly-cloudy-night
2022-01-01 08:00:00,8,13.3,13.3,10.3,82.08,44.7,20.2,244,False,True,Partially cloudy,partly-cloudy-night
2022-01-01 09:00:00,9,13.3,13.3,9.8,79.38,44.7,23.5,364,False,True,Partially cloudy,partly-cloudy-day
2022-01-01 10:00:00,10,14.3,14.3,9.2,71.0,44.7,22.0,655,False,True,Partially cloudy,partly-cloudy-day
2022-01-01 11:00:00,11,15.1,15.1,9.0,66.96,44.7,25.5,1058,False,True,Partially cloudy,partly-cloudy-day
2022-01-01 12:00:00,12,16.1,16.1,10.1,67.63,47.1,23.3,1412,False,True,Partially cloudy,partly-cloudy-day
2022-01-01 13:00:00,13,15.0,15.0,9.8,71.11,50.2,19.8,1704,False,True,Partially cloudy,partly-cloudy-day
2022-01-01 14:00:00,14,14.6,14.6,10.3,75.44,50.7,17.3,1754,False,True,Partially cloudy,partly-cloudy-day
2022-01-01 15:00:00,15,14.6,14.6,10.6,76.97,93.0,18.0,1945,False,True,Overcast,cloudy
2022-01-01 16:00:00,16,13.8,13.8,10.8,82.14,84.5,17.3,1543,False,True,Partially cloudy,partly-cloudy-day
2022-01-01 17:00:00,17,14.0,14.0,10.8,81.09,86.9,10.8,1255,False,True,Partially cloudy,partly-cloudy-night
2022-01-01 18:00:00,18,13.3,13.3,10.8,84.85,89.2,13.1,1018,False,True,Partially cloudy,partly-cloudy-night
2022-01-01 19:00:00,19,13.3,13.3,11.1,86.55,93.1,12.9,835,False,True,Overcast,cloudy
2022-01-01 20:00:00,20,13.3,13.3,11.1,86.54,89.2,13.5,856,False,True,Partially cloudy,partly-cloudy-night
2022-01-01 21:00:00,21,13.5,13.5,11.1,85.44,92.3,12.9,726,False,True,Overcast,cloudy
2022-01-01 22:00:00,22,13.1,13.1,11.0,87.1,93.1,11.9,618,False,True,Overcast,cloudy
2022-01-01 23:00:00,23,13.3,13.3,11.1,86.55,69.4,12.0,545,False,True,Partially cloudy,partly-cloudy-night
2022-01-02 00:00:00,0,13.3,13.3,11.3,87.7,92.3,12.6,352,False,True,Overcast,cloudy
2022-01-02 01:00:00,1,13.3,13.3,11.3,87.7,89.2,23.1,217,False,True,Partially cloudy,partly-cloudy-night
2022-01-02 02:00:00,2,13.1,13.1,10.9,85.97,81.6,17.7,169,False,True,Partially cloudy,partly-cloudy-night
2022-01-02 03:00:00,3,13.0,13.0,11.1,88.26,92.3,16.1,74,False,True,Overcast,cloudy
2022-01-02 04:00:00,4,12.6,12.6,11.5,93.02,81.6,20.8,60,False,True,Partially cloudy,partly-cloudy-night
2022-01-02 05:00:00,5,12.5,12.5,11.3,92.39,74.6,17.7,38,False,True,"Rain, Partially cloudy",rain
2022-01-02 06:00:00,6,12.3,12.3,10.6,89.37,77.6,26.2,92,False,True,"Rain, Partially cloudy",rain
2022-01-02 07:00:00,7,12.0,12.0,9.3,83.57,81.5,30.1,127,False,True,Partially cloudy,partly-cloudy-night
2022-01-02 08:00:00,8,11.6,11.6,8.8,82.97,77.7,30.1,250,False,True,Partially cloudy,partly-cloudy-night
2022-01-02 09:00:00,9,11.1,11.1,8.8,85.75,78.4,30.1,512,False,True,Partially cloudy,partly-cloudy-day
2022-01-02 10:00:00,10,11.6,11.6,8.3,80.2,70.8,27.0,981,False,True,Partially cloudy,partly-cloudy-day
2022-01-02 11:00:00,11,12.1,12.1,8.5,78.65,78.5,30.1,1333,False,True,Partially cloudy,partly-cloudy-day
2022-01-02 12:00:00,12,12.1,12.1,8.1,76.57,77.7,30.1,1619,False,True,Partially cloudy,partly-cloudy-day
2022-01-02 13:00:00,13,12.1,12.1,8.6,78.69,76.8,9.3,1463,False,True,Partially cloudy,partly-cloudy-day
2022-01-02 14:00:00,14,12.3,12.3,9.4,81.98,86.9,14.2,1466,False,True,Partially cloudy,partly-cloudy-day
2022-01-02 15:00:00,15,12.1,12.1,9.7,84.73,86.9,11.7,1265,False,True,Partially cloudy,partly-cloudy-day
2022-01-02 16:00:00,16,12.0,12.0,8.5,79.18,86.9,26.6,1221,False,True,Partially cloudy,partly-cloudy-day
2022-01-02 17:00:00,17,11.3,11.3,7.8,79.1,57.1,29.3,1063,False,True,Partially cloudy,partly-cloudy-night
2022-01-02 18:00:00,18,11.1,11.1,8.1,81.79,86.2,34.3,1016,False,True,"Rain, Partially cloudy",rain
2022-01-02 19:00:00,19,10.5,10.5,7.6,82.26,12.2,30.5,919,False,True,Clear,clear-night
2022-01-02 20:00:00,20,10.3,10.3,6.8,78.94,21.6,34.0,732,False,True,Partially cloudy,partly-cloudy-night
2022-01-02 21:00:00,21,10.1,10.1,5.8,74.68,3.1,32.4,562,False,True,Clear,clear-night
2022-01-02 22:00:00,22,9.8,9.8,6.1,77.78,3.1,23.9,565,False,True,Clear,clear-night
