name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
london,2022-02-01T00:00:00,5.8,5.8,2.5,79.36,0,0,rain,0,0,39.2,0.1,263,1026.4,90,19.3,,,,10,Partially cloudy,partly-cloudy-night,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T01:00:00,6.4,6.4,2.9,78.31,0,0,rain,0,0,38.9,0.1,257,1025.5,66.4,22.4,0,,0,10,Partially cloudy,partly-cloudy-night,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T02:00:00,6.8,6.8,3.6,80.07,0,0,,0,0,41.8,0.1,238,1024.9,69.5,16.2,0,,0,10,Partially cloudy,partly-cloudy-night,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T03:00:00,7,7,4.1,81.81,0,0,,0,0,44.3,0.1,250,1024.3,66.4,13.1,0,,0,10,Partially cloudy,partly-cloudy-night,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T04:00:00,7.3,7.3,4.9,84.18,0,0,,0,0,50.4,0.1,257,1023.3,93,12.2,0,,0,10,Overcast,cloudy,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T05:00:00,7.6,7.6,5.3,85.38,0,0,,0,0,53.3,0.1,244,1022.1,93,14,0,,0,10,Overcast,cloudy,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T06:00:00,7.8,7.8,5.3,84.21,0,0,,0,0,54,0.1,274,1022.1,93,12.5,,,,10,Overcast,cloudy,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T07:00:00,8.3,8.3,5.3,81.4,0,0,,0,0,52.6,0.1,267,1021.3,93,16.2,0,,0,10,Overcast,cloudy,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T08:00:00,8.3,8.3,5.5,82.54,0,0,,0,0,52.6,0.1,277,1020.9,53.1,17.8,11,0,0,10,Partially cloudy,partly-cloudy-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T09:00:00,9.1,9.1,6,80.96,0,0,,0,0,52.2,0.2,281,1020.8,53.3,20.9,50,0.2,1,10,Partially cloudy,partly-cloudy-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T10:00:00,10.3,10.3,7,80,0,0,,0,0,51.1,0.2,287,1020.8,86.9,17.8,124,0.4,1,10,Partially cloudy,partly-cloudy-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T11:00:00,12.8,12.8,8.3,74.12,0,0,,0,0,46.4,0.2,294,1020.7,71.7,20.9,234,0.8,2,10,Partially cloudy,partly-cloudy-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T12:00:00,13.3,13.3,7.6,67.96,0,0,,0,0,55.4,0.2,293,1020.4,50.2,16.2,279,1,3,10,Partially cloudy,partly-cloudy-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T13:00:00,14,14,7.3,64.05,0,0,,0,0,55.4,0.2,287,1020.4,50.2,22.4,101,0.4,1,10,Partially cloudy,partly-cloudy-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T14:00:00,14.1,14.1,7.6,64.95,0,0,,0,0,48.2,0.2,277,1020,90,22.4,57,0.2,1,10,Partially cloudy,partly-cloudy-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T15:00:00,14.3,14.3,7.8,64.97,0,0,,0,0,46.4,0.2,287,1019.6,37.9,22.4,55,0.2,1,10,Partially cloudy,partly-cloudy-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T16:00:00,14.3,14.3,6.4,58.67,0,0,,0,0,56.2,0.2,290,1019.7,65.2,22.4,46,0.2,0,10,Partially cloudy,partly-cloudy-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T17:00:00,13.3,13.3,6.6,63.47,0,0,,0,0,50,0.2,284,1020.3,37.8,22.4,16,0.1,0,10,Partially cloudy,partly-cloudy-night,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T18:00:00,12.6,12.6,6.7,66.9,0,0,,0,0,48.6,0.1,285,1021.1,38.8,22.4,,,,10,Partially cloudy,partly-cloudy-night,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T19:00:00,12,12,6.6,69.58,0,0,,0,0,47.9,0.2,284,1021.2,0,22.4,0,,0,10,Clear,clear-night,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T20:00:00,11.3,11.3,6.5,72.36,0,0,,0,0,46.8,0.1,277,1021.6,38.8,22.4,0,,0,10,Partially cloudy,partly-cloudy-night,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T21:00:00,11.1,11.1,6.9,74.86,0,0,,0,0,45.4,19.3,281,1021.8,68.2,22.4,0,,0,10,Partially cloudy,partly-cloudy-night,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T22:00:00,11.6,11.6,7.7,76.51,0,0,,0,0,42.8,0.1,281,1021.9,86.9,17.8,0,,0,10,Partially cloudy,partly-cloudy-night,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-01T23:00:00,10.8,10.8,7.7,80.66,0,0,,0,0,43.9,0.1,270,1021.9,48.6,20.9,0,,0,10,Partially cloudy,partly-cloudy-night,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-02T00:00:00,10.3,10.3,7.7,83.4,0,0,,0,0,48.2,0.1,273,1021.8,42.1,20.9,,,,10,Partially cloudy,partly-cloudy-night,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-02T01:00:00,10.1,10.1,8,86.82,0,0,,0,0,46.1,0.1,270,1021.8,56,16.2,0,,0,10,Partially cloudy,partly-cloudy-night,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-02T02:00:00,9.6,9.6,7.6,87.37,0,0,,0,0,41.4,0.1,262,1021.9,77.6,17.8,0,,0,10,Partially cloudy,partly-cloudy-night,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-02T03:00:00,9.8,9.8,8,88.57,0,0,,0,0,45,0.2,263,1021.6,65.4,17.8,0,,0,10,Partially cloudy,partly-cloudy-night,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-02T04:00:00,9.6,6.6,7.8,88.54,0,0,,0,0,45.4,24.3,277,1021.8,65.4,17.8,0,,0,10,Partially cloudy,partly-cloudy-night,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-02T05:00:00,9.5,9.5,7.5,87.35,0,0,,0,0,46.1,0.1,278,1021.8,47.2,17.8,0,,0,10,Partially cloudy,partly-cloudy-night,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-02T06:00:00,9.6,9.6,7.6,87.35,0,0,,0,0,44.6,0.1,278,1022.3,80.7,22.4,,,,10,Partially cloudy,partly-cloudy-night,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-02T07:00:00,9.6,9.6,7.3,85.61,0,0,,0,0,44.3,0.1,274,1022.6,42.6,16.2,0,,0,10,Partially cloudy,partly-cloudy-night,"03680099999,03781099999,03672099999,03772099999,03770099999"
london,2022-02-02T08:00:00,8.5,8.5,6.6,87.84,0,0,,0,0,43.6,0.1,270,1023.3,20.9,16.2,10,0,0,10,Partially cloudy,partly-cloudy-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-02-02T09:00:00,9.1,9.1,7,86.69,0,0,,0,0,39.6,0.1,274,1023.4,16.7,19.3,22,0.1,0,10,Clear,clear-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-02-02T10:00:00,10.5,10.5,7.3,80.58,0,0,,0,0,33.5,0.1,281,1023.5,16.7,22.4,163,0.6,2,10,Clear,clear-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-02-02T11:00:00,11.8,11.8,7.1,72.97,0,0,,0,0,28.1,0.1,284,1023.9,53.2,22.4,194,0.7,2,10,Partially cloudy,partly-cloudy-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-02-02T12:00:00,11.5,11.5,7.1,74.41,0,0,,0,0,25.2,0.1,287,1023.8,43.8,19.3,103,0.4,1,10,Partially cloudy,partly-cloudy-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-02-02T13:00:00,11.6,11.6,7.1,73.91,0,0,,0,0,22.3,0.1,289,1023.2,62.2,22.4,135,0.5,1,10,Partially cloudy,partly-cloudy-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-02-02T14:00:00,11.6,11.6,7.1,73.89,0,0,,0,0,19.8,0.1,291,1022.9,62.2,17.8,113,0.4,1,10,Partially cloudy,partly-cloudy-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
